Tweet,UserHandle,Party,Issue,Stance
brokers will be free from black money and blackout,SushilModi,BJP,Demonetisation,Agreement
year of liberation of muslim women is,SushilModi,BJP,TripleTalaqBill,Agreement
fertilizer subsidies that will be received by farmers from january will go directly to their account which will provide great relief to farmers across the country including bihar from no fee will be paid for paying up to rupees through debit card bhima app and internet system attached to aadhar cards a true incident happened at surat railway station just a while ago with my cousin brother do you really think with such railway staff well really deliver the quality of service kind attention railminindia westernrly USER_MENTION,SushilModi,BJP,Aadhar linking,Agreement
year of the liberation of muslim women iffigoapic.twitter.com x5vbchhvnu,SushilModi,BJP,TripleTalaqBill,Agreement
on the one hand the nda government passed bill passed to crores of muslim women from the suffering of three divorces in the lok sabha and on the other hand empowering lakh muslim women by skill development program in three years the parties who understand the muslims as vote bank are still,SushilModi,BJP,TripleTalaqBill,Agreement
nda promises promise to muslim women modi,SushilModi,BJP,TripleTalaqBill,Agreement
keeping bihar deprived of development laloo prasad who did injustice to the poor and backward for years when the court found guilty on the basis of all the facts and evidence in another case of the fodder scam then his party started making racist accusations on the judiciary,SushilModi,BJP,Fodder scam,Agreement
under the pressure of fundamentalist forces many parties including the congress rjd have been supporting three divorced customs to harass muslim women in every way but the central government has introduced three bills in the lok sabha the intention to get the punishment cleared,SushilModi,BJP,TripleTalaqBill,Agreement
nda government strongly condemned the three divorced customs by filing an affidavit in the supreme court without worrying about political profits and losses to get rid of million muslim women of the countrys social oppression in the historical verdict of august the court has given the unlawful act,SushilModi,BJP,TripleTalaqBill,Agreement
sharad yadav betrayed his party to cooperate with the lalu family who had fought a long struggle against the misrule that protects corruption from the fodder scam to the pragmatic scandal instead of leaving the membership of the rajya sabha after disagreements with the party line he is the president,SushilModi,BJP,Fodder scam,Agreement
the firm evidence of the fodder scam was found in files of the bihar government which was recovered by the then joint director of cbi in these files there are also number of vehicles transported by tons of fodder which were found in the scooter or motorcycle number in the investigation,SushilModi,BJP,Fodder scam,Agreement
when laloo prasad who was found guilty in another case of fodder scam finally reached the jail rabri devi who started speaking about faith in god while the leader of his party started giving unbelief statements to the judiciary those who rely on god have the power to create anonymity,SushilModi,BJP,Fodder scam,Agreement
a socialist leader who has lost his sanyas for political support of anonymous property is now feeling that years ago he committed a sin by filing a public interest petition in the fodder scam against lalu prasad actually they are now sin so they are now after the fall from sannyas the discretion of sinsacrifice will be destroyed,SushilModi,BJP,Fodder scam,Agreement
in the second case related to the rs fodder scam people including lalu prasad were found guilty of them percent are from upper castes on the other hand the people who were acquitted by jagannath mishra percent of them are people of dalit and backward classes blindfolded by the facts,SushilModi,BJP,Fodder scam,Agreement
as the chief minister became the first chief minister in lalu prasad had only begun to eradicate poverty by abandoning the development of the poor and the backward due to which around crore fodder scam broke out and bihar was shamed all over the country the petition filed in the high court years ago for investigating the matter,SushilModi,BJP,Fodder scam,Agreement
i was one of the petitioner in fodder scam pil which resulted in cbi inquiry monitoring by patna h court,SushilModi,BJP,Fodder scam,Agreement
shri guru gobind singh ji at the prakash festivals shukraana festival dear evm machine be happy you are the only rumors of tampering with you i was looted completely your lovely post_board,SushilModi,BJP,EVM tampering,Disagreement
with the technological improvement in the process of filing returns for gst the number of traders filing returns for novembernovember increased to lakh nearly percent of the people filled the form whereas first percent returns were filed only the people of gujarat who oppose gst first khilji and padmavati also went to their own house as elections ended and the mistry of the ram temple also went off.it is this people from the next election some will already show the same URL drkumarvishwas USER_MENTION USER_MENTION USER_MENTION,SushilModi,BJP,GST,Agreement
gujarats mandate proves that the development did not go mad but those who oppose the ban on canvas gst and bullet trains had gone crazy to envy the prime minister and lost their language limit the decimation of temple opponents on dwarkadhish and somnaths land was decided,SushilModi,BJP,GST,Agreement
people of gujarat have put their stamp on gst demonetisation.gabbar has been demonetised in gujarat,SushilModi,BJP,GST,Agreement
addressing the meeting of the gst network held in bangalore and speaking with honorable finance minister shri arun jaitley through video conferencing,SushilModi,BJP,GST,Agreement
on reaching bangalore for the gst network meeting the bangalore municipal corporations mayor was welcomed and informed about the activities,SushilModi,BJP,GST,Agreement
after finding the shameful defeat of congress in gujarat and himachal pradesh sonia gandhi decided to retire from politics lalu prasad also disturbed by continuous hearing in heart surgery and fodder scam needs rest but in the service of the public leaving the worry of stunning yadav father,SushilModi,BJP,Fodder scam,Agreement
council may bring petrol realty under gst in future,SushilModi,BJP,GST,Agreement
in the year the central government has covered crops of crore farmers with a sum insured of rs crore now instead of only one and a half times more help was received on the loss of of the crop the state government increased the diesel subsidy of farmers by rupees per liter from which,SushilModi,BJP,hike in oil prices,Agreement
meeting with the officials of indian oil reviewed the situation of the lpg gas connection being given in bihar,SushilModi,BJP,lgp price hike,Agreement
new slab will be made by mixing and tax in gst,SushilModi,BJP,GST,Agreement
gom to meet infosys officials this month to sort out gst glitches business line,SushilModi,BJP,GST,Agreement
patna municipal corporations tax collection is now open to you today by organizing a program in patnas hotel maurya,SushilModi,BJP,GST,Agreement
private taxpayer will start the tax on patna municipal tax on december,SushilModi,BJP,GST,Agreement
with the growth rate of percent in the second quarter of the current financial year it is clear that the economy is about to fly in the manufacturing sector giving more employment a phenomenal growth of percent has been recorded gst benefits of banknote world bank moodys and imf not rahullalu,SushilModi,BJP,GST,Agreement
by linking bank account mobile number and aadhar card with government schemes the nda government saved crores of rupees in the country which used to go to middlemen pockets knowing that only paise in the money used to reach the public rajiv gandhi did not stop looting in plans,SushilModi,BJP,Aadhar linking,Agreement
after improving the jump and the ranking of the international credit rating agency moodys in the world banks business facilitation report the international monetary fund imf has also recorded growth in the per capita gdp of the country the nda government has taken a,SushilModi,BJP,GDP growth,Agreement
defending the womans selfrespect it is justified to oppose the making of objectionable film on veerangana padmavati who is selfsacrificing jauhar but,SushilModi,BJP,Padmavati film screening,Agreement
soon only tax slabs likely for gst,SushilModi,BJP,GST,Agreement
reduced gst should reflect in mrp sushil modi the hindu,SushilModi,BJP,GST,Agreement
revenue collected under gst in oct at rs crore sushil modi times of india,SushilModi,BJP,GST,Agreement
infosys to configure editing facility in the gst network to enable traders to file returns,SushilModi,BJP,GST,Agreement
those who used to wear a blanket of power and sacked the land instead of the land scam in exchange for the fodder scam alkate scam and railway hotels their blankets including their blanket USER_MENTION g USER_MENTION g think seriously because there is an agreement between the zonal officer and the dumb people and there is a possibility of something else tomorrow if you look at it according to your law i will be your candidate URL,SushilModi,BJP,Fodder scam,Agreement
permanent engineer in all states including bihar for the implementation of permanent engineer gst network in all states including bihar for implementation of gst network,SushilModi,BJP,GST,Agreement
addressing the gst network meeting held in bangalore,SushilModi,BJP,GST,Agreement
considering the convenience of the traders and the needs of the people the decision to reduce the rates of gst on items has come to be cheap in the retail market after being implemented from tuesday night food was also cheaper in the restaurant customers should also keep an eye on low rates when paying bills,SushilModi,BJP,GST,Agreement
when the gst council has reduced the tax on items from to percent then the traders should take advantage of it to the general consumers,SushilModi,BJP,GST,Agreement
in order to make it easier for people in the weaker sections to buy houses the central government has announced subsidy of up to percent on home loan to meet the prime ministers promise to give home to everyone the gst council can also bring real estate under the purview of gst without burdening buyers flat takers,SushilModi,BJP,GST,Agreement
when lalu prasad became the chief minister for a second time the fodder scam was exposed and when his family came to power for the second time cases of benami property worth crores of rupees came to the investigating agencies they used to do politics of spreading hatred by talking about clearing brown hair in the ego of power,SushilModi,BJP,Fodder scam,Agreement
the traders welcomed the announcement of the comprehensive reforms in the rates of gst so that rahul gandhis political losses in the election of the gujarat legislative assembly,SushilModi,BJP,GST,Agreement
if gst is a gabbar tax then why cong min supported it in the council.till now all decisions are unanimous either or,SushilModi,BJP,GST,Agreement
the congress is taking the credit of the gst as if the rat walks on the road of the camel sitting on the rope it walks forward and thinks that,SushilModi,BJP,GST,Agreement
with the process of filling tax returns easier deducting taxes on items will lead the country to a new height of business facilit,SushilModi,BJP,GST,Agreement
in the gst council meeting organized in gohati with finance minister government of india mr arun jaitley ji,SushilModi,BJP,GST,Agreement
thanks to USER_MENTION for bringing in consensus on all major issues in gst council meeting.only jaitley can do it,SushilModi,BJP,GST,Agreement
all restaurants without itc star hotels out door catering with itc.1 gst on composite manufacturers,SushilModi,BJP,GST,Agreement
no tax on advance payments in case of goods in gst.late fee reduced from to rs for nil returns for others,SushilModi,BJP,GST,Agreement
in the prime ministers mobile app survey percent of the people believed that notetaking proved to be an effective attack on black money on security forces in kashmir,SushilModi,BJP,Demonetisation,Agreement
bihars sweet food now only percent tax on anarasa,SushilModi,BJP,GST,Agreement
items removed from slab to in gst only demerit luxury items now in slab,SushilModi,BJP,GST,Agreement
at the gst council meeting held in gohati,SushilModi,BJP,GST,Agreement
tax deduction on items has been reduced by adopting consistent favorable suggestions on the gst applied as the biggest tax reform since independence,SushilModi,BJP,GST,Agreement
bihars agricultural road map was launched by the tax lotus of the president of india shri ramnath kovind ji,SushilModi,BJP,GST,Agreement
meeting with the businessmen in the bihar chamber of commerce and industries building on problems facing the gst they suggested to improve gst,SushilModi,BJP,GST,Agreement
addressing the black money protest day organized by the bjp in patna,SushilModi,BJP,Demonetisation,Agreement
the blackmoney antiday devoted to modis bold leadership and historic decisions for the end of black money and corruption from the country is dedicated to the cancellation,SushilModi,BJP,Demonetisation,Agreement
those who support black money are celebrating black day,SushilModi,BJP,Demonetisation,Agreement
like the panama papers even after the names of those who have made money abroad by hiding tax in the paradise papers case the nda government without any delay,SushilModi,BJP,GST,Agreement
the people of the middle class supported the prime ministers campaign against black money and supported the ban on black money so the government has contributed,SushilModi,BJP,Demonetisation,Agreement
after the ban the central government took action on the basis of the report of banks and the two lakh fake companies involved in making the black money valid,SushilModi,BJP,Demonetisation,Agreement
during the notemaking financial year the income tax department recovered percent more black money than last year and three in the income tax survey USER_MENTION what a fall from so called shushashan babu to the scandal who is guxana bjp toiletscam toiletchornitish,SushilModi,BJP,GST,Agreement
discussion on gst held jointly by daily hindustan and bihar chamber of commerce and industries,SushilModi,BJP,GST,Agreement
with special focus on sectors such as protection of small investors amendment in bankrupt laws and tax reforms india has out of world banks,SushilModi,BJP,GST,Agreement
deputy chief minister listens on the problems of gst network suggestions from business representatives,SushilModi,BJP,GST,Agreement
today i met with state businessmen to be aware of the problems in the gst network,SushilModi,BJP,GST,Agreement
rahul gandhi forgets that in the years of the upa governments huge amount of scams and black money in foreign banks,SushilModi,BJP,Demonetisation,Agreement
meeting on the gst networks problems for meeting,SushilModi,BJP,GST,Agreement
in the last two months rs crore was given to state governments for the loss of revenue loss from gst except rajasthan and arunachal,SushilModi,BJP,GST,Agreement
in bangalore to attend meeting of gom for gst network,SushilModi,BJP,GST,Agreement
while making a critical meeting of the commerce tax department,SushilModi,BJP,GST,Agreement
problems of gst will soon be diagnosed,SushilModi,BJP,GST,Agreement
in the remaining months of the current financial year lakh families were given lpg make available connection sushil kumar modi,SushilModi,BJP,lgp price hike,Agreement
in a joint meeting of industry department and commerce tax department discussing vat reimbursement was instructed to take immediate action in pending cases,SushilModi,BJP,GST,Agreement
after the gst in the poor state like bihar on the first dhanteras there was a turnover of rs crore in a day high middle class has made crores,SushilModi,BJP,GST,Agreement
on the eve of deepawali festival celebrated in the glee of lord rams lanka vijay and ayodhya return the navy costs crores,SushilModi,BJP,Ram Mandir,Agreement
gom meeting for providing further relief to small taxpayers in gst ended in bihar niwas n delhi,SushilModi,BJP,GST,Agreement
gst council has solved primary issues by giving great relief to small traders considering tax rates to be more rational,SushilModi,BJP,GST,Agreement
listening to problems faced by businessmen in gst in darbhanga,SushilModi,BJP,GST,Agreement
with the finance minister shri arun jaitley and the finance ministers of the other state in the gst council meeting held in vigyan bhawan delhi,SushilModi,BJP,GST,Agreement
make gst it system user friendly,SushilModi,BJP,GST,Agreement
world banks chief of the world junaid ahmed has described gst as such a structural change in the countrys taxation policy from percent in the economy,SushilModi,BJP,GST,Agreement
happy birthday to the famous prime minister of india honorable USER_MENTION ji clean india will be healthy only then india USER_MENTION ji wish you a very happy bday your work has left a deep impact on society and you will remain a inspiration for the country,SushilModi,BJP,Swacch Bharat,Agreement
infosys directs infosys to get it problems related to gst under deadline infosys directs gst to integrate it problems within deadline,SushilModi,BJP,GST,Agreement
addressing the meeting of the gst group of ministers held in bangalore,SushilModi,BJP,GST,Agreement
lalu prasad accused of fodder scam and railway hotel lease in multicrore rupees accused a famous nonviolent lawyer from bihar,SushilModi,BJP,Fodder scam,Agreement
in the gst council meeting held in hyderabad,SushilModi,BJP,GST,Agreement
in hydrabad to attend gst council meeting,SushilModi,BJP,GST,Agreement
after the ban on black money under the prime ministers poverty welfare scheme pmgky the black money was announced for rs crore black money in the first cabinet,SushilModi,BJP,Demonetisation,Agreement
lalu prasad now convicted in the fodder scam can no longer contest the election of the leader and he will give the sons and daughters the honorable property of crores of rupees,SushilModi,BJP,Fodder scam,Agreement
after the ban on blackmail more than thousand crore of black money was revealed in this rs crore was seized where thousand properties,SushilModi,BJP,Demonetisation,Agreement
in the case of unauthorized property worth crores of rupees rabri devi and tasvya yadav were questioned by the income tax department,SushilModi,BJP,GST,Agreement
decision to create backward class commission welcome,SushilModi,BJP,reservation,Agreement
sub categorisation of obc will benefit of extremely backward castes who couldnt compete with some advanced bcs,SushilModi,BJP,reservation,Agreement
historic decision by pm to appoint a commission for sub categorisation of central obc list like in bihar,SushilModi,BJP,reservation,Agreement
with the respect and equality of muslim women the supreme courts historic decision to ban three divorces by calling it unconstitutional,SushilModi,BJP,TripleTalaqBill,Agreement
lakhs of muslim women liberated from tyranny of male chauvinism in name of religion.salute to court s judgement,SushilModi,BJP,TripleTalaqBill,Agreement
today i inaugurated the gst facilitation center in rukanpur patna where interested people will be trained in gst,SushilModi,BJP,GST,Agreement
of gst facilitation centre at pm on venue centre of excellence pillar road patna,SushilModi,BJP,GST,Agreement
in connection with the sale of laloo yadav from baloo mafia and to save his property from income tax department press briefing,SushilModi,BJP,GST,Agreement
invitation on august an open discussion on gst has been organized in the north bihar chamber of commerce saraiyaganj muzaffarpur,SushilModi,BJP,GST,Agreement
consumers get less tax on items,SushilModi,BJP,GST,Agreement
addressing a oneday meeting in connection with the gst held in patna,SushilModi,BJP,GST,Agreement
bihar government recommends putting only percent gst instead of percent on soil sculptures to increase the income of potterpeddlers,SushilModi,BJP,GST,Agreement
laloo prasad deceived the poor and made a fodder scam wrote the land of people for work and baloo mafia who looted the natural wealth,SushilModi,BJP,Fodder scam,Agreement
the number of income tax return firms increased by per cent against the ban against black money and black money this is the fastest growth in recent years with,SushilModi,BJP,GST,Agreement
USER_MENTION check post not for gst but for transport excise,SushilModi,BJP,GST,Agreement
thanks to patience of arun jaitley in conducting gst council meeting.all job work now govt works contract gst,SushilModi,BJP,GST,Agreement
representing bihar tax at the gst council meeting held in delhi,SushilModi,BJP,GST,Agreement
the impact of large economic reforms and inflation reduction is that the reserve bank reduced the repo rate to percent its the lowest in years,SushilModi,BJP,Inflation control,Agreement
everything will be interfered in gst sushil kumar modi,SushilModi,BJP,GST,Agreement
after the formation of the government of nda in the meeting organized with the business organizations on the gst and the bihar chamber of commerce building,SushilModi,BJP,GST,Agreement
nitish kumar with tainted ministers of the party who is engaged in fodder scam alkali scam and black deck scam like the beed degree scam,SushilModi,BJP,Fodder scam,Agreement
now the petrol pump will be canceled as soon as possible,SushilModi,BJP,hike in oil prices,Agreement
sharad pawars allotment of petrol pump,SushilModi,BJP,hike in oil prices,Agreement
was the ripping stall cleaned in the closed room or in front of the public did the collusion with the tax tolerance be compromised reply nitish,SushilModi,BJP,GST,Agreement
salvo at tejashwi parrikar says there will be no shortage of beef in goa congresss answer whats funny URL parrikarassuresnoshortageofbeefingoacongresscallsitironic1049875.html,SushilModi,BJP,Beef Ban,Agreement
with the retail inflation coming down to the lowest level of years and the expected rise of cheap credit the stock market is on new heights,SushilModi,BJP,Inflation control,Agreement
prime minister narendra modi took three major steps in the economic sector in the form of public funds banknotes and gst of independence,SushilModi,BJP,GST,Agreement
deputy chief minister tashkishi prasad yadav resigns over tax evasion in crores of rupees,SushilModi,BJP,GST,Agreement
after the historic noteoffs of november the income tax department has raided raiders in bihar alone,SushilModi,BJP,GST,Agreement
rapid inflation rate in corruption economic discipline and economic reforms in june,SushilModi,BJP,Inflation control,Agreement
releasing the item and service tax training pamphlet published by bjp commerce forum,SushilModi,BJP,GST,Agreement
can meera kumars conscience refuse to vote for the legislators and mps of that party whose leader is convicted in a fodder scam and,SushilModi,BJP,Fodder scam,Agreement
if someone threatens to don a donation to say the donation of the fodder scam as corrupt then who will be afraid,SushilModi,BJP,Fodder scam,Agreement
surgical strikes on terrorist camps ban on black money gst for the simple tax system and the undisputed person of the dalit community president,SushilModi,BJP,GST,Agreement
after the ban the government has shut down more than lakh fake companies involved in the use of black money and shell companies engaged in hide and seek,SushilModi,BJP,Demonetisation,Agreement
prime minister narendra modi credited all political parties for the revolutionary step of implementing a tax of different types of tax and types of cess clean indias nationist vrat jaleshwar mahadev nagaur USER_MENTION do not consider the jana shanadan with the good wishes of rajcmo USER_MENTION,SushilModi,BJP,GST,Agreement
lalu declares that gst will not be allowed in bihar,SushilModi,BJP,GST,Agreement
the amount deposited by the indians in black money holders by the reduction of the amount of black money by per cent is due in the,SushilModi,BJP,Demonetisation,Agreement
congress and lalu prasad are misbehaving in the gst because black money and benami property are not going to get dirty in the new tax system,SushilModi,BJP,GST,Agreement
the commodity and service tax gst which is effective from midnight of june is the biggest move of tax reform after independence,SushilModi,BJP,GST,Agreement
lalu prasad has the courage to announce that gst will not be implemented in bihar,SushilModi,BJP,GST,Agreement
going to delhi tomorrow to be part of historical mid night launching of gst by pm president from central hall,SushilModi,BJP,GST,Agreement
gst can boost bihars tax collection,SushilModi,BJP,GST,Agreement
in a seminar cum workshop on gst held at bia from bjp commerce forum,SushilModi,BJP,GST,Agreement
lalu convicted in cr fodder scam sons benami property worth cr attached by,SushilModi,BJP,Fodder scam,Agreement
how tej pratap was alloted petrol pump in during upa when he owned no land neither leased land in his name,SushilModi,BJP,hike in oil prices,Agreement
according to media allotment of petrol pump to tej pratap has been cancelled by bpcl becose land was fraudulently shown,SushilModi,BJP,hike in oil prices,Agreement
vehicle passing through the petrol pump nh and the banks across the state are looting the days the eyewitnesses of the murder are being killed,SushilModi,BJP,hike in oil prices,Agreement
with the introduction of the goods and services tax gst system from july consumeroriented state bihar will be of great benefit tax evasion by almost,SushilModi,BJP,GST,Agreement
anti cow slaughter was enacted in in bihar in yrs no change.still k fine month jail many loopholes,SushilModi,BJP,Beef Ban,Agreement
health ministers petrol pump license will be canceled,SushilModi,BJP,hike in oil prices,Agreement
bharat petroleum has issued a showcause notar to allot the allocation of petrol pumps by fraudulent pratap by canceling the allotment,SushilModi,BJP,hike in oil prices,Agreement
bharat petroleum has served show cause notice to health min tej pratap as to why his petrol pump shall not be cancelled,SushilModi,BJP,hike in oil prices,Agreement
the income tax department has detected anonymous properties worth rs crore in nine states including bihar the action is about to happen,SushilModi,BJP,GST,Agreement
in the three years of the nda government the gdp rate increased from to per cent the indian currency strengthened by per cent the sensex,SushilModi,BJP,GDP growth,Agreement
times now has revealed jailed ca rajesh diary showing lakh black money given by jain bros to lalus daughter co,SushilModi,BJP,Demonetisation,Agreement
whereas the creation of new india was started by clean india clean economy notebankdigital india and clean river namami ganges campaign,SushilModi,BJP,Swacch Bharat,Agreement
bjp by introducing fast verdicts in the right of youth women and the poor as well as surgical strikes against black money anonymous property and terrorism,SushilModi,BJP,Demonetisation,Agreement
after the arrest of the ceo of lisa prasad the daughter of misa bharti in the case of black money the incometax department questioned misa and her husband,SushilModi,BJP,Demonetisation,Agreement
ca of misa co mishail arrested by ed.he confessed making bogus entry of cr black money of misa,SushilModi,BJP,Demonetisation,Agreement
rajesh agarwal who was whiteing the black money of the lalu yadav family through company shares was holding press conference after arrest by ed,SushilModi,BJP,Demonetisation,Agreement
when laloo prasad became the chief minister then a rs crore fodder scam took place railway minister became a land worth crore land scam income tax department raids,SushilModi,BJP,GST,Agreement
income tax raid on lalus bases do u think kejriwal is corrupt he should resign immidiatly vote to max USER_MENTION USER_MENTION,SushilModi,BJP,GST,Agreement
the poor will get free water from the water of the canals nihal tax will be lost haryana happy enellos firm promise URL,ABHAYCHAUTALA,INC,GST,Disagreement
food security bill passed food for the poor security for the congress and bill for the tax payers,ABHAYCHAUTALA,INC,GST,Disagreement
congress declared congress ruled states like haryana rajeshthan would provide additional lpg cylinders at URL,ABHAYCHAUTALA,INC,lgp price hike,Disagreement
upa govt has given a low gdp growth in a quarter with monsoons deficient till now where are we heading towards as a nation,ABHAYCHAUTALA,INC,GDP growth,Disagreement
you are a part of those who get votes i am a part of those who believe their vote counts for something this country imagine how reassuring it is for us now that we know our opinion is as good as mud entire belief system eroded in the past few years thanks to evm doubt URL so gujarat is a repeat of between extremely reassuring thanks for clarifying that URL,OmarAbdullah,INC,EVM tampering,Agreement
its surprising that you dont understand fixing elections given the fact that you are from kashmir USER_MENTION most educated indians know what happened also india is the only vibrant democracy in the world that has booth capturing as a term to add to its vibrancy URL been extremely sceptical of evm related conspiracy theories but being to question my unwavering faith in the machines their infallibility,OmarAbdullah,INC,EVM tampering,Agreement
been extremely sceptical of evm related conspiracy theories but being to question my unwavering faith in the machines their infallibility i have tweeted many times how vvpat is a scam in short let me make a detailed thread for reference explained to an aap volunteer in dm,OmarAbdullah,INC,EVM tampering,Agreement
retweeted without comment even the poor benefited during demonetization they stood in queue for the rich and made money paresh rawal in surendranagar,OmarAbdullah,INC,Demonetisation,Disagreement
demonetisation bang gst bang shots to chest says rahul gandhi URL demonetisation gst,OmarAbdullah,INC,GST,Disagreement
the and simple is neither good nor simple and the admission has come from someone who knows what he is talking about URL we have been saying ad nauseam the current gst rate structure will not URL rev sec says it needs total overhaul,OmarAbdullah,INC,GST,Disagreement
now this explains why the hon pm was so happy to share credit for gst with the congress not usually given to sharing credit anywhere URL gst rate structure needs complete overhauling hasmukh adhia URL,OmarAbdullah,INC,GST,Disagreement
how many months has it been since the midnight session of parliament when we were told this gst law is the greatest thing since sliced bread URL gst rate structure needs complete overhauling hasmukh adhia URL,OmarAbdullah,INC,GST,Disagreement
goes to show how much i know i was under the impression that implementation of gst had reduced significantly travel time for transporters URL four months into gst transporters yet to see reduction in travel time URL,OmarAbdullah,INC,GST,Disagreement
drafted deleted a dozen tweets because no words seem to capture the way i feel all i know is that this the india i know love URL men accused of murdering akhlaq over suspicion of storing beef have been given contractual jobs with ntpc URL,OmarAbdullah,INC,Beef Ban,Disagreement
i get the whole innocent until proven guilty argument by the same yardstick so was akhlaq but he given that benefit of doubt URL men accused of murdering akhlaq over suspicion of storing beef have been given contractual jobs with ntpc URL,OmarAbdullah,INC,Beef Ban,Disagreement
basically people will get gst relief on items that matter to them when their state has elections the bjp worries enough about the results URL gst on khakhra reduced from to arun jaitley,OmarAbdullah,INC,GST,Disagreement
exactly when dr manmohan singh said that demonetisation would cost us in gdp growth he had no clue what he was talking about URL dismissing oppositions attack piyushgoyal claimed those criticising demonetisation dont understand economics URL,OmarAbdullah,INC,Demonetisation,Disagreement
the people dont care whether demonetisation has failed or succeeded the focus has been moved very effectively well written by USER_MENTION URL failure hurt USER_MENTION already changed the narrative URL USER_MENTION,OmarAbdullah,INC,Demonetisation,Disagreement
seems some people in the bjp dont know whether to credit the pm for righttoprivacy or not tintin the mystery of the deleted tweet,OmarAbdullah,INC,RightToPrivacy SC Verdict,Agreement
any central govt ministers congratulating the supreme court for the rightoprivacy judgement like they did for the tripletalaq one,OmarAbdullah,INC,Triple Talaq SC verdict,Agreement
this is welcome news it also means USER_MENTION has finished counting demonetised notes to arrive at this firm figure of lakh crores excellent URL independencedayindia live we have recovered lakh crores worth of black money after demonetisation says pm URL,OmarAbdullah,INC,Demonetisation,Disagreement
the irony of a man on a day holiday telling someone else to get back to work will be completely lost on president trump URL mitch get back to work and put repeal replace tax reform cuts and a great infrastructure bill on my desk for signing you can do it,OmarAbdullah,INC,GST,Disagreement
i hope the guys in gujarat count these votes faster than the rbi has been counting demonetised notes since its way past my bed time,OmarAbdullah,INC,Demonetisation,Disagreement
pdp has allowed gst statistics bill passage machil accused life sentence revocation use of human shield the list goes on stoplies URL jk cm mehboobamufti says pdp will not allow closure of crossloc trade continue to work towards opening more routes across loc with pok,OmarAbdullah,INC,GST,Disagreement
any other explanation for this rbi stopped printing of rs notes nearly five months ago speculations rife on another demonetisation URL,OmarAbdullah,INC,Demonetisation,Disagreement
when there is higher inflation we blame the govt for failing to manage prices low inflation we claim farmers suffer both ways govt damned URL economist prasenjit bose on USER_MENTION,OmarAbdullah,INC,Inflation control,Disagreement
isnt this the same harvard that was mocked ridiculed when one of its publications raised serious concerns about demonetisation URL harvard study predicts dramatic fall in chinas economic growth impressive rise for india URL,OmarAbdullah,INC,Demonetisation,Disagreement
as expected the govt reply was full of hyperbole devoid of substance the bjpdp govt had decided to apply gst so why the theatrics,OmarAbdullah,INC,GST,Disagreement
how can the house give consent when it hasnt been taken in to confidence about the true nature of the modifications URL pdpbjp govt proposes to adopt modified version of gst regime.does that mean will have a different special agreed to it,OmarAbdullah,INC,GST,Disagreement
we know you didnt surrender no one says you did everyone knows that its the pdp that surrenders in this relationship URL USER_MENTION minister in pmo says govt didnt surrender on issue of gst in jammukashmir URL,OmarAbdullah,INC,GST,Disagreement
it cant present a gst bill unless the state government decides to extend the amendment whether in original form or a modified form URL if the govt is not extending const amend then it should announce that it will present a gst bill in the la why reluctant,OmarAbdullah,INC,GST,Disagreement
one govt conference enveloped in layers of security wont change the tourism numbers it will take a sustained period of calm for that URL hosting the gst conference in srinagar should bring some relief to that citys tourism industry URL,OmarAbdullah,INC,GST,Disagreement
after winning an election no USER_MENTION URL so when is the right time to raise doubts about evms or should politicians keep evm doubts to ones self,OmarAbdullah,INC,EVM tampering,Agreement
so when is the right time to raise doubts about evms or should politicians keep evm doubts to ones self,OmarAbdullah,INC,EVM tampering,Agreement
thats the problem with this evm issue speak up before election looks like you are about to lose speak up after you are a sore loser URL somebody expects to lose URL,OmarAbdullah,INC,EVM tampering,Agreement
congratulations USER_MENTION your friends allies have chosen a man who called for the dead bodies of muslim women to be raped as cm,OmarAbdullah,INC,TripleTalaqBill,Disagreement
pm modis uidai programme i must have missed something along the way because i could have sworn this was started by dr manhohan singh URL pm modis USER_MENTION program wins USER_MENTION praise amid big brother fears URL,OmarAbdullah,INC,Aadhar linking,Disagreement
cashless transactions fake currency in circulation almost entire lot of notes demonetised back in the banks so what is the achievement URL gujarat arrest leads to seizure of rs crore in fake notes URL USER_MENTION reports,OmarAbdullah,INC,Demonetisation,Disagreement
case studies are created from both successes and failures how will the demonetisation case study judge the scheme i wonder URL worlds economists dont know parameters to assess it.what india did will be a case study for economists worldwide pm in rs demonetisation,OmarAbdullah,INC,Demonetisation,Disagreement
this is a new one first it was to curb black money then terrorism was the target and finally a cashless economy was the end goal URL aim of demonetisation is to bring down real estate prices chief economic advisor arvind subramanian demonetisation,OmarAbdullah,INC,Demonetisation,Disagreement
rotfl now waiting for a pithy comeback from the peotus trump when will you understand that i am not paying for that fucken wall be clear with us tax payers they will pay for it,OmarAbdullah,INC,GST,Disagreement
so much for the demonetisation crisis easing my sister went to atms in delhi to withdraw money yesterday not a single one had any cash,OmarAbdullah,INC,Demonetisation,Disagreement
only growth in modi sarkar is of the number of things that apparently turn you pakistani URL pm USER_MENTION on demonetisation in varanasi note ban detractors are acting like pakistan,OmarAbdullah,INC,Demonetisation,Disagreement
so the final results show that the benchmark for success has shifted from ending corruption to becoming a cashless economy demonetisation URL what is the benchmark for success of demonetisation announced by pm modi last month,OmarAbdullah,INC,Demonetisation,Disagreement
what is the benchmark for success of demonetisation announced by pm modi last month,OmarAbdullah,INC,Demonetisation,Disagreement
